,24h_checkin,Air_conditioning,Bedroom_lock,Breakfast,Elevator,Essentials,Heating,Internet,Kitchen,Pets_allowed,Smoking_allowed,TV,Washer,accommodates,bathrooms,bedrooms,cancel_pol,host_id,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,superhost,neighbourhood,January,February,March,April,May,June,July,August,September,October,November,December,Total_days,Availability,Ja_rcounts,Fe_rcounts,Mar_rcounts,Ap_rcounts,May_rcounts,Jun_rcounts,Jul_rcounts,Au_rcounts,Se_rcounts,Oc_rcounts,No_rcounts,De_rcounts,Total_rcounts,Est_bookings,Occupancy_rate,Income_year,Income_month
10004682,1,1,0,1,1,1,1,1,1,1,1,1,1,5.0,1.0,2.0,strict,50716055,0.0,41.379915,2.167714,3.0,85.0,Apartment,4.5,Entire home/apt,0,el Raval,1,25,27,24,31,30,31,31,30,31,30,31,322.0,88.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.465838509317,127.5,10.625
1000720,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,1.0,strict,5501549,0.0,41.418319,2.173298,2.0,26.0,Apartment,4.0,Private room,0,el Guinard,29,29,31,30,31,30,31,31,30,31,30,31,364.0,99.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.412087912088,26.0,2.16666666667
10011035,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0,1.0,1.0,flexible,42906962,0.0,41.379945,2.170149,2.0,80.0,Apartment,5.0,Private room,0,el Raval,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,100.0,80.0,6.66666666667
10013485,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,strict,3146415,1.0,41.405257,2.151454,1.0,15.0,Apartment,4.5,Private room,0,la Vila de Grcia,27,29,31,30,31,30,31,31,30,31,30,31,362.0,99.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.414364640884,7.5,0.625
1001823,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,moderate,5509819,0.0,41.376485,2.152711,4.0,50.0,Apartment,4.5,Private room,0,Sant Antoni,24,29,31,30,31,30,31,31,30,31,30,31,359.0,98.36,0.0,0.0,1.5,1.0,3.5,3.0,2.0,2.0,3.0,1.0,0.0,0.0,17.0,8.5,16.95,1700.0,141.666666667
1002049,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,strict,2859949,1.0,41.378922,2.170519,1.0,26.0,Apartment,4.0,Private room,0,el Raval,25,29,31,30,31,30,31,31,30,31,30,31,360.0,98.63,4.5,4.5,2.67,3.67,3.67,3.33,3.0,3.67,2.67,3.0,3.0,3.0,40.68,20.34,0.416666666667,528.84,44.07
10020871,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0,0.0,1.0,strict,43624890,2.0,41.381053,2.17637,1.0,40.0,House,5.0,Private room,0,el Barri Gtic,29,29,27,30,31,30,31,31,30,31,30,31,360.0,98.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,14.8514851485,20.0,1.66666666667
1002233,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0,2.0,4.0,strict,5511646,2.0,41.37417,2.170415,3.0,80.0,Apartment,4.5,Entire home/apt,0,el Poble Sec,26,13,25,20,22,30,27,22,30,27,30,31,303.0,83.01,3.0,3.0,4.0,1.5,2.0,2.5,3.0,2.0,2.5,3.0,2.5,1.0,30.0,15.0,10.9042553191,3600.0,300.0
1002372,1,1,0,1,1,1,1,1,1,1,1,1,1,5.0,1.0,3.0,moderate,2379410,1.0,41.396561,2.206836,1.0,72.0,Apartment,4.5,Entire home/apt,0,el Poblenou,14,8,25,29,12,14,27,31,30,31,30,31,282.0,77.26,2.0,1.0,2.0,2.0,1.67,1.5,0.0,1.0,3.0,2.33,3.0,1.0,20.5,10.25,0.432276657061,738.0,61.5
10026265,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0,1.0,1.0,moderate,43661755,0.0,41.38275,2.179074,2.0,71.0,Apartment,3.5,Entire home/apt,0,el Barri Gtic,16,26,31,29,31,30,31,31,30,31,30,31,347.0,95.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,100.0,71.0,5.91666666667
