,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
1001823,0.0,41.376485,2.152711,4.0,50.0,Apartment,4.5,Private room,Sant Antoni,98.36,17.0,16.95,141.666666667
1002233,2.0,41.37417,2.170415,3.0,80.0,Apartment,4.5,Entire home/apt,el Poble Sec,83.01,30.0,10.9042553191,300.0
1002821,0.0,41.390357,2.184774,3.0,119.0,Apartment,4.5,Entire home/apt,el Parc i la Llacuna del Poblenou,99.73,8.0,100.0,119.0
1003214,1.0,41.387545,2.160368,2.0,69.0,Apartment,5.0,Entire home/apt,l'Antiga Esquerra de l'Eixample,97.53,19.5,0.884955752212,112.125
1007939,1.0,41.403383,2.159423,2.0,73.0,Apartment,4.5,Entire home/apt,la Vila de Grcia,75.89,38.66,0.412087912088,235.181666667
101021,2.0,41.380306,2.174472,3.0,230.0,Apartment,4.5,Entire home/apt,el Barri Gtic,85.48,15.5,13.5418994413,445.625
1010589,0.0,41.373795,2.164559,3.0,80.0,Apartment,4.5,Entire home/apt,el Poble Sec,84.93,28.0,0.412087912088,280.0
1010912,0.0,41.39175,2.186697,3.0,133.0,Apartment,4.5,Entire home/apt,el Parc i la Llacuna del Poblenou,97.53,7.5,1.26050420168,124.6875
1011083,1.0,41.370615,2.164175,2.0,79.0,Apartment,5.0,Entire home/apt,el Poble Sec,98.08,32.32,33.9696969697,212.773333333
1011139,4.0,41.387328,2.181753,5.0,80.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",1.64,25.0,0.847457627119,416.666666667
1013513,0.0,41.399139,2.184307,2.0,62.0,Bed & Breakfast,5.0,Private room,el Fort Pienc,75.07,53.01,9.99718309859,273.885
1016104,0.0,41.387207,2.150508,3.0,350.0,Apartment,4.5,Entire home/apt,la Nova Esquerra de l'Eixample,98.9,14.5,100.0,634.375
1017317,2.0,41.444737,2.185152,3.0,28.0,Loft,4.5,Entire home/apt,la Prosperitat,41.37,32.66,18.6536050157,114.31
1018188,1.0,41.381923,2.18274,2.0,48.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",10.14,49.17,14.2552816901,196.68
1020452,1.0,41.372774,2.146547,3.0,65.0,Apartment,4.5,Entire home/apt,la Font de la Guatlla,77.81,26.99,23.1714285714,219.29375
1021286,0.0,41.398038,2.199771,3.0,130.0,Apartment,4.5,Entire home/apt,el Poblenou,95.62,7.0,0.421348314607,113.75
1021299,2.0,41.386704,2.147931,3.0,41.0,Apartment,4.5,Private room,la Nova Esquerra de l'Eixample,67.12,26.17,5.37249283668,134.12125
1021389,1.0,41.371356,2.168522,5.0,85.0,Apartment,4.5,Entire home/apt,el Poble Sec,95.34,12.0,18.2719298246,212.5
1023142,2.0,41.397692,2.202477,3.0,81.0,Apartment,4.5,Entire home/apt,el Poblenou,70.68,24.67,12.8873239437,249.78375
1023985,0.0,41.404614,2.179925,3.0,105.0,Apartment,5.0,Entire home/apt,la Sagrada Famlia,95.62,12.5,4.06779661017,164.0625
1025705,1.0,41.371545,2.13443,1.0,85.0,Apartment,4.5,Entire home/apt,Sants,97.26,30.5,16.5137614679,108.020833333
1025760,0.0,41.392602,2.154843,3.0,470.0,Apartment,4.5,Entire home/apt,l'Antiga Esquerra de l'Eixample,80.82,8.0,9.19803370787,470.0
1026052,0.0,41.400269,2.15988,2.0,75.0,Apartment,4.5,Entire home/apt,la Vila de Grcia,92.33,19.0,9.81308411215,118.75
1026160,0.0,41.397019,2.168756,5.0,120.0,Apartment,5.0,Entire home/apt,la Dreta de l'Eixample,59.45,5.0,18.3571428571,125.0
1027718,0.0,41.373217,2.166159,2.0,35.0,Apartment,4.5,Entire home/apt,el Poble Sec,94.52,40.34,15.0546218487,117.658333333
1027732,2.0,41.372968,2.168173,2.0,35.0,Apartment,4.5,Entire home/apt,el Poble Sec,89.59,36.0,5.25675675676,105.0
1028836,0.0,41.37851,2.152112,2.0,70.0,Apartment,4.0,Entire home/apt,la Nova Esquerra de l'Eixample,97.53,21.83,1.64835164835,127.341666667
1029587,1.0,41.405796,2.201661,3.0,100.0,Apartment,4.5,Entire home/apt,el Poblenou,69.04,30.84,2.54957507082,385.5
1032836,1.0,41.374612,2.16318,3.0,94.0,Apartment,4.5,Entire home/apt,el Poble Sec,91.23,11.67,3.60169491525,137.1225
1034761,1.0,41.394528,2.201118,4.0,99.0,Apartment,4.5,Entire home/apt,el Poblenou,70.68,8.0,7.14285714286,132.0
1034771,0.0,41.381391,2.168084,3.0,160.0,Apartment,4.5,Entire home/apt,el Raval,73.42,14.5,26.3498583569,290.0
1036375,0.0,41.377042,2.13089,3.0,90.0,House,5.0,Entire home/apt,Sants,98.63,35.67,11.5714285714,401.2875
1037668,1.0,41.389033,2.170119,3.0,150.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,96.99,8.5,11.7952522255,159.375
1037925,1.0,41.378124,2.189637,2.0,45.0,Apartment,4.5,Private room,la Barceloneta,92.05,28.5,7.29166666667,106.875
1038902,3.0,41.399201,2.191039,1.0,50.0,Apartment,4.5,Private room,el Parc i la Llacuna del Poblenou,96.71,62.01,19.4343065693,129.1875
1038904,0.0,41.40016,2.1909,1.0,50.0,Apartment,4.5,Private room,el Parc i la Llacuna del Poblenou,99.45,59.16,0.412087912088,123.25
1039162,0.0,41.40686,2.16268,3.0,140.0,Apartment,4.5,Entire home/apt,el Camp d'en Grassot i Grcia Nova,88.22,24.84,0.842696629213,434.7
1039211,0.0,41.406998,2.203119,3.0,110.0,Apartment,4.5,Entire home/apt,el Poblenou,78.9,14.0,4.17956656347,192.5
1041427,1.0,41.388562,2.171458,2.0,70.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,18.63,40.5,15.5658682635,236.25
1044130,1.0,41.402442,2.137838,3.0,170.0,Apartment,5.0,Entire home/apt,Sant Gervasi - Galvany,58.63,19.67,17.1993569132,417.9875
104485,1.0,41.391189,2.156415,3.0,29.0,Apartment,4.5,Private room,l'Antiga Esquerra de l'Eixample,93.97,31.28,24.7663551402,113.39
1047089,0.0,41.401941,2.157685,1.0,80.0,Apartment,4.5,Entire home/apt,la Vila de Grcia,75.07,35.5,11.55,118.333333333
1049897,0.0,41.404886,2.172513,3.0,117.0,Apartment,5.0,Entire home/apt,la Sagrada Famlia,90.41,25.33,3.70879120879,370.45125
1057394,0.0,41.391892,2.176054,4.0,135.0,Apartment,5.0,Entire home/apt,la Dreta de l'Eixample,70.41,8.5,7.34210526316,191.25
1060614,1.0,41.396861,2.181172,2.0,95.0,Apartment,5.0,Entire home/apt,el Fort Pienc,79.18,68.51,7.16560509554,542.370833333
1062043,1.0,41.391043,2.191768,2.0,135.0,Apartment,4.5,Entire home/apt,la Vila Olmpica del Poblenou,99.73,17.5,9.30656934307,196.875
1068375,1.0,41.425673,2.202453,3.0,50.0,Apartment,4.5,Entire home/apt,la Verneda i la Pau,98.9,17.67,19.1089285714,110.4375
1071740,1.0,41.373031,2.135617,4.0,399.0,Apartment,5.0,Entire home/apt,Sants,58.08,38.33,0.724637681159,2548.945
1072256,2.0,41.373799,2.155895,5.0,43.0,Apartment,4.5,Private room,el Poble Sec,95.07,22.0,100.0,197.083333333
1073748,1.0,41.415166,2.105846,3.0,150.0,Apartment,5.0,Entire home/apt,"Vallvidrera, el Tibidabo i les Planes",86.03,15.0,9.125,281.25
1074100,0.0,41.374426,2.16064,2.0,70.0,Apartment,4.5,Entire home/apt,el Poble Sec,95.89,39.67,0.412087912088,231.408333333
1075855,1.0,41.408674,2.163197,3.0,90.0,Apartment,4.5,Entire home/apt,el Camp d'en Grassot i Grcia Nova,75.07,17.0,0.412087912088,191.25
1076229,1.0,41.423174,2.14807,2.0,180.0,Apartment,4.5,Entire home/apt,la Teixonera,99.73,7.0,16.313559322,105.0
