,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
10004682,0.0,41.379915,2.167714,3.0,85.0,Apartment,4.5,Entire home/apt,el Raval,88.22,1.0,0.465838509317,10.625
1002233,2.0,41.37417,2.170415,3.0,80.0,Apartment,4.5,Entire home/apt,el Poble Sec,83.01,30.0,10.9042553191,300.0
1002372,1.0,41.396561,2.206836,1.0,72.0,Apartment,4.5,Entire home/apt,el Poblenou,77.26,20.5,0.432276657061,61.5
10026265,0.0,41.38275,2.179074,2.0,71.0,Apartment,3.5,Entire home/apt,el Barri Gtic,95.07,1.0,100.0,5.91666666667
1002821,0.0,41.390357,2.184774,3.0,119.0,Apartment,4.5,Entire home/apt,el Parc i la Llacuna del Poblenou,99.73,8.0,100.0,119.0
1002902,1.0,41.413181,2.184722,2.0,93.0,Apartment,4.5,Entire home/apt,el Camp de l'Arpa del Clot,0.0,8.0,8.21629213483,62.0
1003214,1.0,41.387545,2.160368,2.0,69.0,Apartment,5.0,Entire home/apt,l'Antiga Esquerra de l'Eixample,97.53,19.5,0.884955752212,112.125
10033446,0.0,41.390223,2.180767,2.0,64.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",92.88,2.0,0.433526011561,10.6666666667
10033737,0.0,41.384598,2.172724,5.0,130.0,Apartment,4.5,Entire home/apt,el Barri Gtic,3.01,1.0,0.641025641026,27.0833333333
1005499,0.0,41.406033,2.177231,2.0,82.0,Apartment,4.5,Entire home/apt,la Sagrada Famlia,23.56,9.0,0.412087912088,61.5
1005502,0.0,41.408139,2.177223,2.0,82.0,Apartment,4.0,Entire home/apt,la Sagrada Famlia,22.74,6.0,2.15538461538,41.0
1005754,0.0,41.388705,2.170912,3.0,130.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,89.04,4.67,20.9350180505,75.8875
1007939,1.0,41.403383,2.159423,2.0,73.0,Apartment,4.5,Entire home/apt,la Vila de Grcia,75.89,38.66,0.412087912088,235.181666667
101021,2.0,41.380306,2.174472,3.0,230.0,Apartment,4.5,Entire home/apt,el Barri Gtic,85.48,15.5,13.5418994413,445.625
1010589,0.0,41.373795,2.164559,3.0,80.0,Apartment,4.5,Entire home/apt,el Poble Sec,84.93,28.0,0.412087912088,280.0
1010912,0.0,41.39175,2.186697,3.0,133.0,Apartment,4.5,Entire home/apt,el Parc i la Llacuna del Poblenou,97.53,7.5,1.26050420168,124.6875
1011083,1.0,41.370615,2.164175,2.0,79.0,Apartment,5.0,Entire home/apt,el Poble Sec,98.08,32.32,33.9696969697,212.773333333
1011139,4.0,41.387328,2.181753,5.0,80.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",1.64,25.0,0.847457627119,416.666666667
1011376,0.0,41.391624,2.185162,3.0,110.0,Apartment,4.5,Entire home/apt,el Parc i la Llacuna del Poblenou,97.81,3.0,1.04895104895,41.25
