,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
10004682,0.0,41.379915,2.167714,3.0,85.0,Apartment,4.5,Entire home/apt,el Raval,88.22,1.0,0.465838509317,10.625
1000720,0.0,41.418319,2.173298,2.0,26.0,Apartment,4.0,Private room,el Guinard,99.73,1.0,0.412087912088,2.16666666667
10013485,1.0,41.405257,2.151454,1.0,15.0,Apartment,4.5,Private room,la Vila de Grcia,99.18,1.0,0.414364640884,0.625
1001823,0.0,41.376485,2.152711,4.0,50.0,Apartment,4.5,Private room,Sant Antoni,98.36,17.0,16.95,141.666666667
1002049,1.0,41.378922,2.170519,1.0,26.0,Apartment,4.0,Private room,el Raval,98.63,40.68,0.416666666667,44.07
10020871,2.0,41.381053,2.17637,1.0,40.0,House,5.0,Private room,el Barri Gtic,98.63,1.0,14.8514851485,1.66666666667
1002233,2.0,41.37417,2.170415,3.0,80.0,Apartment,4.5,Entire home/apt,el Poble Sec,83.01,30.0,10.9042553191,300.0
10026265,0.0,41.38275,2.179074,2.0,71.0,Apartment,3.5,Entire home/apt,el Barri Gtic,95.07,1.0,100.0,5.91666666667
1002821,0.0,41.390357,2.184774,3.0,119.0,Apartment,4.5,Entire home/apt,el Parc i la Llacuna del Poblenou,99.73,8.0,100.0,119.0
1003214,1.0,41.387545,2.160368,2.0,69.0,Apartment,5.0,Entire home/apt,l'Antiga Esquerra de l'Eixample,97.53,19.5,0.884955752212,112.125
10033446,0.0,41.390223,2.180767,2.0,64.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",92.88,2.0,0.433526011561,10.6666666667
10034348,0.0,41.385568,2.173874,2.0,19.0,Apartment,4.5,Private room,el Barri Gtic,94.79,1.0,15.6976744186,1.58333333333
1005751,2.0,41.396166,2.161395,1.0,95.0,Apartment,4.0,Private room,la Dreta de l'Eixample,99.73,1.0,1.23626373626,3.95833333333
1005754,0.0,41.388705,2.170912,3.0,130.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,89.04,4.67,20.9350180505,75.8875
1005819,1.0,41.408456,2.170017,1.0,50.0,Apartment,4.5,Private room,el Baix Guinard,99.73,3.0,6.04532967033,6.25
1006148,1.0,41.39865,2.204298,5.0,50.0,Apartment,5.0,Private room,el Poblenou,99.73,4.0,1.26050420168,41.6666666667
100836,2.0,41.407552,2.158824,2.0,30.0,Apartment,4.5,Private room,la Vila de Grcia,99.73,14.67,7.45192307692,36.675
10100174,1.0,41.379307,2.159548,2.0,27.0,Apartment,4.5,Private room,Sant Antoni,99.73,1.0,3.16011235955,2.25
101021,2.0,41.380306,2.174472,3.0,230.0,Apartment,4.5,Entire home/apt,el Barri Gtic,85.48,15.5,13.5418994413,445.625
1010589,0.0,41.373795,2.164559,3.0,80.0,Apartment,4.5,Entire home/apt,el Poble Sec,84.93,28.0,0.412087912088,280.0
1010912,0.0,41.39175,2.186697,3.0,133.0,Apartment,4.5,Entire home/apt,el Parc i la Llacuna del Poblenou,97.53,7.5,1.26050420168,124.6875
1011083,1.0,41.370615,2.164175,2.0,79.0,Apartment,5.0,Entire home/apt,el Poble Sec,98.08,32.32,33.9696969697,212.773333333
10111416,2.0,41.410785,2.175515,2.0,25.0,Apartment,5.0,Private room,la Sagrada Famlia,99.73,1.0,29.0200729927,2.08333333333
1011376,0.0,41.391624,2.185162,3.0,110.0,Apartment,4.5,Entire home/apt,el Parc i la Llacuna del Poblenou,97.81,3.0,1.04895104895,41.25
10120072,1.0,41.384822,2.179824,1.0,30.0,Apartment,4.5,Private room,"Sant Pere, Santa Caterina i la Ribera",96.99,2.0,16.5042134831,2.5
1015663,0.0,41.422444,2.189182,1.0,25.0,Apartment,4.5,Private room,la Sagrera,97.53,39.17,0.41782729805,40.8020833333
1015758,0.0,41.399941,2.162491,1.0,39.0,House,4.5,Private room,la Vila de Grcia,97.26,23.66,4.98614958449,38.4475
1016104,0.0,41.387207,2.150508,3.0,350.0,Apartment,4.5,Entire home/apt,la Nova Esquerra de l'Eixample,98.9,14.5,100.0,634.375
1018050,1.0,41.382934,2.156778,1.0,30.0,Apartment,5.0,Private room,la Nova Esquerra de l'Eixample,98.36,1.0,3.84615384615,1.25
1018053,2.0,41.373844,2.168292,1.0,29.0,Apartment,5.0,Private room,el Poble Sec,98.9,12.0,7.17409470752,14.5
1018439,0.0,41.38135,2.172006,1.0,25.0,Apartment,4.0,Private room,el Raval,87.4,39.67,3.00859598854,41.3229166667
1019810,1.0,41.401781,2.163724,2.0,29.0,Apartment,4.5,Private room,la Vila de Grcia,98.36,17.17,16.0224489796,41.4941666667
1021286,0.0,41.398038,2.199771,3.0,130.0,Apartment,4.5,Entire home/apt,el Poblenou,95.62,7.0,0.421348314607,113.75
1021297,0.0,41.387138,2.149055,2.0,21.0,Apartment,4.0,Private room,la Nova Esquerra de l'Eixample,93.15,40.34,14.3430232558,70.595
1021389,1.0,41.371356,2.168522,5.0,85.0,Apartment,4.5,Entire home/apt,el Poble Sec,95.34,12.0,18.2719298246,212.5
1021822,0.0,41.378419,2.153532,1.0,26.0,Bed & Breakfast,4.5,Private room,la Nova Esquerra de l'Eixample,86.3,48.66,14.9038461538,52.715
10219910,1.0,41.379547,2.169326,1.0,55.0,Apartment,0.0,Entire home/apt,el Raval,97.53,1.0,6.94166666667,2.29166666667
1023985,0.0,41.404614,2.179925,3.0,105.0,Apartment,5.0,Entire home/apt,la Sagrada Famlia,95.62,12.5,4.06779661017,164.0625
1024587,0.0,41.378496,2.153608,2.0,28.0,Apartment,4.5,Private room,la Nova Esquerra de l'Eixample,85.48,31.0,0.824175824176,72.3333333333
1025640,2.0,41.385445,2.182817,3.0,39.0,Apartment,4.5,Private room,"Sant Pere, Santa Caterina i la Ribera",98.63,16.66,17.5391304348,81.2175
1025705,1.0,41.371545,2.13443,1.0,85.0,Apartment,4.5,Entire home/apt,Sants,97.26,30.5,16.5137614679,108.020833333
1025760,0.0,41.392602,2.154843,3.0,470.0,Apartment,4.5,Entire home/apt,l'Antiga Esquerra de l'Eixample,80.82,8.0,9.19803370787,470.0
1026052,0.0,41.400269,2.15988,2.0,75.0,Apartment,4.5,Entire home/apt,la Vila de Grcia,92.33,19.0,9.81308411215,118.75
1026452,2.0,41.401562,2.210357,3.0,99.0,Apartment,5.0,Entire home/apt,Diagonal Mar i el Front Martim del Poblenou,99.73,2.0,10.3521126761,24.75
1027718,0.0,41.373217,2.166159,2.0,35.0,Apartment,4.5,Entire home/apt,el Poble Sec,94.52,40.34,15.0546218487,117.658333333
1027732,2.0,41.372968,2.168173,2.0,35.0,Apartment,4.5,Entire home/apt,el Poble Sec,89.59,36.0,5.25675675676,105.0
1028836,0.0,41.37851,2.152112,2.0,70.0,Apartment,4.0,Entire home/apt,la Nova Esquerra de l'Eixample,97.53,21.83,1.64835164835,127.341666667
1030423,0.0,41.416934,2.173229,2.0,30.0,Bed & Breakfast,4.5,Private room,el Guinard,97.26,24.5,31.4314285714,61.25
1030956,2.0,41.386387,2.173112,1.0,34.0,Apartment,4.5,Private room,el Barri Gtic,97.81,35.83,14.8625,50.7591666667
1032836,1.0,41.374612,2.16318,3.0,94.0,Apartment,4.5,Entire home/apt,el Poble Sec,91.23,11.67,3.60169491525,137.1225
1034301,0.0,41.380021,2.154712,1.0,25.0,Apartment,5.0,Private room,la Nova Esquerra de l'Eixample,99.73,4.0,12.7232142857,4.16666666667
1034303,4.0,41.381305,2.155419,1.0,25.0,Apartment,4.0,Private room,la Nova Esquerra de l'Eixample,99.73,4.5,17.3274336283,4.6875
1034304,0.0,41.381414,2.156237,1.0,25.0,Apartment,4.5,Private room,la Nova Esquerra de l'Eixample,96.71,6.0,17.6788732394,6.25
1036375,0.0,41.377042,2.13089,3.0,90.0,House,5.0,Entire home/apt,Sants,98.63,35.67,11.5714285714,401.2875
1037668,1.0,41.389033,2.170119,3.0,150.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,96.99,8.5,11.7952522255,159.375
1037925,1.0,41.378124,2.189637,2.0,45.0,Apartment,4.5,Private room,la Barceloneta,92.05,28.5,7.29166666667,106.875
