,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
10011035,0.0,41.379945,2.170149,2.0,80.0,Apartment,5.0,Private room,el Raval,0.27,1.0,100.0,6.66666666667
1001823,0.0,41.376485,2.152711,4.0,50.0,Apartment,4.5,Private room,Sant Antoni,98.36,17.0,16.95,141.666666667
10020871,2.0,41.381053,2.17637,1.0,40.0,House,5.0,Private room,el Barri Gtic,98.63,1.0,14.8514851485,1.66666666667
10026265,0.0,41.38275,2.179074,2.0,71.0,Apartment,3.5,Entire home/apt,el Barri Gtic,95.07,1.0,100.0,5.91666666667
1002821,0.0,41.390357,2.184774,3.0,119.0,Apartment,4.5,Entire home/apt,el Parc i la Llacuna del Poblenou,99.73,8.0,100.0,119.0
10034348,0.0,41.385568,2.173874,2.0,19.0,Apartment,4.5,Private room,el Barri Gtic,94.79,1.0,15.6976744186,1.58333333333
1005754,0.0,41.388705,2.170912,3.0,130.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,89.04,4.67,20.9350180505,75.8875
10084019,1.0,41.385408,2.178966,1.0,39.0,Apartment,5.0,Private room,"Sant Pere, Santa Caterina i la Ribera",32.6,1.0,13.5483870968,1.625
101021,2.0,41.380306,2.174472,3.0,230.0,Apartment,4.5,Entire home/apt,el Barri Gtic,85.48,15.5,13.5418994413,445.625
1011083,1.0,41.370615,2.164175,2.0,79.0,Apartment,5.0,Entire home/apt,el Poble Sec,98.08,32.32,33.9696969697,212.773333333
10111416,2.0,41.410785,2.175515,2.0,25.0,Apartment,5.0,Private room,la Sagrada Famlia,99.73,1.0,29.0200729927,2.08333333333
10120072,1.0,41.384822,2.179824,1.0,30.0,Apartment,4.5,Private room,"Sant Pere, Santa Caterina i la Ribera",96.99,2.0,16.5042134831,2.5
10152684,0.0,41.377624,2.175361,3.0,235.0,Apartment,0.0,Entire home/apt,el Raval,22.74,1.0,32.4437086093,29.375
1016104,0.0,41.387207,2.150508,3.0,350.0,Apartment,4.5,Entire home/apt,la Nova Esquerra de l'Eixample,98.9,14.5,100.0,634.375
1017317,2.0,41.444737,2.185152,3.0,28.0,Loft,4.5,Entire home/apt,la Prosperitat,41.37,32.66,18.6536050157,114.31
1018188,1.0,41.381923,2.18274,2.0,48.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",10.14,49.17,14.2552816901,196.68
10186267,0.0,41.379675,2.170301,2.0,30.0,Apartment,3.5,Private room,el Raval,10.68,1.0,17.7970588235,2.5
1019810,1.0,41.401781,2.163724,2.0,29.0,Apartment,4.5,Private room,la Vila de Grcia,98.36,17.17,16.0224489796,41.4941666667
1020452,1.0,41.372774,2.146547,3.0,65.0,Apartment,4.5,Entire home/apt,la Font de la Guatlla,77.81,26.99,23.1714285714,219.29375
1021297,0.0,41.387138,2.149055,2.0,21.0,Apartment,4.0,Private room,la Nova Esquerra de l'Eixample,93.15,40.34,14.3430232558,70.595
1021389,1.0,41.371356,2.168522,5.0,85.0,Apartment,4.5,Entire home/apt,el Poble Sec,95.34,12.0,18.2719298246,212.5
1021822,0.0,41.378419,2.153532,1.0,26.0,Bed & Breakfast,4.5,Private room,la Nova Esquerra de l'Eixample,86.3,48.66,14.9038461538,52.715
