,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
10020871,2.0,41.381053,2.17637,1.0,40.0,House,5.0,Private room,el Barri Gtic,98.63,1.0,14.8514851485,1.66666666667
1002233,2.0,41.37417,2.170415,3.0,80.0,Apartment,4.5,Entire home/apt,el Poble Sec,83.01,30.0,10.9042553191,300.0
1002713,2.0,41.401318,2.156611,1.0,25.0,Apartment,4.0,Private room,la Vila de Grcia,21.64,54.99,3.2967032967,57.28125
10037008,3.0,41.405665,2.1658,1.0,24.0,Apartment,4.5,Private room,el Camp d'en Grassot i Grcia Nova,64.11,1.0,10.843373494,1.0
1005751,2.0,41.396166,2.161395,1.0,95.0,Apartment,4.0,Private room,la Dreta de l'Eixample,99.73,1.0,1.23626373626,3.95833333333
100836,2.0,41.407552,2.158824,2.0,30.0,Apartment,4.5,Private room,la Vila de Grcia,99.73,14.67,7.45192307692,36.675
101021,2.0,41.380306,2.174472,3.0,230.0,Apartment,4.5,Entire home/apt,el Barri Gtic,85.48,15.5,13.5418994413,445.625
1011139,4.0,41.387328,2.181753,5.0,80.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",1.64,25.0,0.847457627119,416.666666667
10111416,2.0,41.410785,2.175515,2.0,25.0,Apartment,5.0,Private room,la Sagrada Famlia,99.73,1.0,29.0200729927,2.08333333333
1017317,2.0,41.444737,2.185152,3.0,28.0,Loft,4.5,Entire home/apt,la Prosperitat,41.37,32.66,18.6536050157,114.31
1018053,2.0,41.373844,2.168292,1.0,29.0,Apartment,5.0,Private room,el Poble Sec,98.9,12.0,7.17409470752,14.5
1021299,2.0,41.386704,2.147931,3.0,41.0,Apartment,4.5,Private room,la Nova Esquerra de l'Eixample,67.12,26.17,5.37249283668,134.12125
1023142,2.0,41.397692,2.202477,3.0,81.0,Apartment,4.5,Entire home/apt,el Poblenou,70.68,24.67,12.8873239437,249.78375
1025640,2.0,41.385445,2.182817,3.0,39.0,Apartment,4.5,Private room,"Sant Pere, Santa Caterina i la Ribera",98.63,16.66,17.5391304348,81.2175
1026452,2.0,41.401562,2.210357,3.0,99.0,Apartment,5.0,Entire home/apt,Diagonal Mar i el Front Martim del Poblenou,99.73,2.0,10.3521126761,24.75
1027732,2.0,41.372968,2.168173,2.0,35.0,Apartment,4.5,Entire home/apt,el Poble Sec,89.59,36.0,5.25675675676,105.0
1030956,2.0,41.386387,2.173112,1.0,34.0,Apartment,4.5,Private room,el Barri Gtic,97.81,35.83,14.8625,50.7591666667
1034303,4.0,41.381305,2.155419,1.0,25.0,Apartment,4.0,Private room,la Nova Esquerra de l'Eixample,99.73,4.5,17.3274336283,4.6875
1038202,2.0,41.401054,2.174677,2.0,20.0,Apartment,4.5,Private room,la Sagrada Famlia,92.88,39.16,89.3382352941,65.2666666667
1038902,3.0,41.399201,2.191039,1.0,50.0,Apartment,4.5,Private room,el Parc i la Llacuna del Poblenou,96.71,62.01,19.4343065693,129.1875
1039196,3.0,41.373354,2.162149,2.0,40.0,Apartment,4.5,Entire home/apt,el Poble Sec,92.33,26.5,11.5136363636,88.3333333333
1054906,4.0,41.381303,2.170745,1.0,20.0,Apartment,4.0,Private room,el Raval,85.21,35.66,7.21153846154,29.7166666667
1056132,2.0,41.379445,2.16334,2.0,40.0,Apartment,4.5,Private room,el Raval,79.45,22.33,26.9566473988,74.4333333333
1064956,7.0,41.391391,2.129802,1.0,81.0,Apartment,4.5,Entire home/apt,les Corts,68.77,10.0,2.88461538462,33.75
1072256,2.0,41.373799,2.155895,5.0,43.0,Apartment,4.5,Private room,el Poble Sec,95.07,22.0,100.0,197.083333333
1077754,2.0,41.388217,2.177055,2.0,50.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",87.12,35.82,12.4592833876,149.25
1078049,5.0,41.3844,2.158912,3.0,80.0,Apartment,4.5,Entire home/apt,l'Antiga Esquerra de l'Eixample,94.52,16.34,18.8545081967,163.4
1081892,2.0,41.393537,2.182829,3.0,27.0,Apartment,4.0,Private room,el Fort Pienc,95.34,21.17,3.18181818182,71.44875
1086536,2.0,41.384889,2.181679,1.0,15.0,Apartment,4.5,Private room,"Sant Pere, Santa Caterina i la Ribera",91.23,39.34,3.92156862745,24.5875
