,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
10004682,0.0,41.379915,2.167714,3.0,85.0,Apartment,4.5,Entire home/apt,el Raval,88.22,1.0,0.465838509317,10.625
1000720,0.0,41.418319,2.173298,2.0,26.0,Apartment,4.0,Private room,el Guinard,99.73,1.0,0.412087912088,2.16666666667
10013485,1.0,41.405257,2.151454,1.0,15.0,Apartment,4.5,Private room,la Vila de Grcia,99.18,1.0,0.414364640884,0.625
1001823,0.0,41.376485,2.152711,4.0,50.0,Apartment,4.5,Private room,Sant Antoni,98.36,17.0,16.95,141.666666667
1002049,1.0,41.378922,2.170519,1.0,26.0,Apartment,4.0,Private room,el Raval,98.63,40.68,0.416666666667,44.07
10020871,2.0,41.381053,2.17637,1.0,40.0,House,5.0,Private room,el Barri Gtic,98.63,1.0,14.8514851485,1.66666666667
1002233,2.0,41.37417,2.170415,3.0,80.0,Apartment,4.5,Entire home/apt,el Poble Sec,83.01,30.0,10.9042553191,300.0
1002372,1.0,41.396561,2.206836,1.0,72.0,Apartment,4.5,Entire home/apt,el Poblenou,77.26,20.5,0.432276657061,61.5
1002713,2.0,41.401318,2.156611,1.0,25.0,Apartment,4.0,Private room,la Vila de Grcia,21.64,54.99,3.2967032967,57.28125
1002902,1.0,41.413181,2.184722,2.0,93.0,Apartment,4.5,Entire home/apt,el Camp de l'Arpa del Clot,0.0,8.0,8.21629213483,62.0
1003214,1.0,41.387545,2.160368,2.0,69.0,Apartment,5.0,Entire home/apt,l'Antiga Esquerra de l'Eixample,97.53,19.5,0.884955752212,112.125
10033446,0.0,41.390223,2.180767,2.0,64.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",92.88,2.0,0.433526011561,10.6666666667
10033737,0.0,41.384598,2.172724,5.0,130.0,Apartment,4.5,Entire home/apt,el Barri Gtic,3.01,1.0,0.641025641026,27.0833333333
10034348,0.0,41.385568,2.173874,2.0,19.0,Apartment,4.5,Private room,el Barri Gtic,94.79,1.0,15.6976744186,1.58333333333
10037008,3.0,41.405665,2.1658,1.0,24.0,Apartment,4.5,Private room,el Camp d'en Grassot i Grcia Nova,64.11,1.0,10.843373494,1.0
1005499,0.0,41.406033,2.177231,2.0,82.0,Apartment,4.5,Entire home/apt,la Sagrada Famlia,23.56,9.0,0.412087912088,61.5
1005502,0.0,41.408139,2.177223,2.0,82.0,Apartment,4.0,Entire home/apt,la Sagrada Famlia,22.74,6.0,2.15538461538,41.0
1005751,2.0,41.396166,2.161395,1.0,95.0,Apartment,4.0,Private room,la Dreta de l'Eixample,99.73,1.0,1.23626373626,3.95833333333
1005754,0.0,41.388705,2.170912,3.0,130.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,89.04,4.67,20.9350180505,75.8875
1005819,1.0,41.408456,2.170017,1.0,50.0,Apartment,4.5,Private room,el Baix Guinard,99.73,3.0,6.04532967033,6.25
1006148,1.0,41.39865,2.204298,5.0,50.0,Apartment,5.0,Private room,el Poblenou,99.73,4.0,1.26050420168,41.6666666667
1007939,1.0,41.403383,2.159423,2.0,73.0,Apartment,4.5,Entire home/apt,la Vila de Grcia,75.89,38.66,0.412087912088,235.181666667
100836,2.0,41.407552,2.158824,2.0,30.0,Apartment,4.5,Private room,la Vila de Grcia,99.73,14.67,7.45192307692,36.675
10084019,1.0,41.385408,2.178966,1.0,39.0,Apartment,5.0,Private room,"Sant Pere, Santa Caterina i la Ribera",32.6,1.0,13.5483870968,1.625
10100174,1.0,41.379307,2.159548,2.0,27.0,Apartment,4.5,Private room,Sant Antoni,99.73,1.0,3.16011235955,2.25
101021,2.0,41.380306,2.174472,3.0,230.0,Apartment,4.5,Entire home/apt,el Barri Gtic,85.48,15.5,13.5418994413,445.625
1010589,0.0,41.373795,2.164559,3.0,80.0,Apartment,4.5,Entire home/apt,el Poble Sec,84.93,28.0,0.412087912088,280.0
1010912,0.0,41.39175,2.186697,3.0,133.0,Apartment,4.5,Entire home/apt,el Parc i la Llacuna del Poblenou,97.53,7.5,1.26050420168,124.6875
1011083,1.0,41.370615,2.164175,2.0,79.0,Apartment,5.0,Entire home/apt,el Poble Sec,98.08,32.32,33.9696969697,212.773333333
1011139,4.0,41.387328,2.181753,5.0,80.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",1.64,25.0,0.847457627119,416.666666667
10111416,2.0,41.410785,2.175515,2.0,25.0,Apartment,5.0,Private room,la Sagrada Famlia,99.73,1.0,29.0200729927,2.08333333333
1011376,0.0,41.391624,2.185162,3.0,110.0,Apartment,4.5,Entire home/apt,el Parc i la Llacuna del Poblenou,97.81,3.0,1.04895104895,41.25
1011781,0.0,41.379079,2.168552,1.0,26.0,Dorm,4.0,Private room,el Raval,54.25,44.84,1.80722891566,48.5766666667
10120072,1.0,41.384822,2.179824,1.0,30.0,Apartment,4.5,Private room,"Sant Pere, Santa Caterina i la Ribera",96.99,2.0,16.5042134831,2.5
1013513,0.0,41.399139,2.184307,2.0,62.0,Bed & Breakfast,5.0,Private room,el Fort Pienc,75.07,53.01,9.99718309859,273.885
10150554,1.0,41.379053,2.177819,3.0,85.0,Apartment,5.0,Entire home/apt,el Barri Gtic,39.18,1.0,6.02493074792,10.625
10152684,0.0,41.377624,2.175361,3.0,235.0,Apartment,0.0,Entire home/apt,el Raval,22.74,1.0,32.4437086093,29.375
1015663,0.0,41.422444,2.189182,1.0,25.0,Apartment,4.5,Private room,la Sagrera,97.53,39.17,0.41782729805,40.8020833333
1015758,0.0,41.399941,2.162491,1.0,39.0,House,4.5,Private room,la Vila de Grcia,97.26,23.66,4.98614958449,38.4475
1017317,2.0,41.444737,2.185152,3.0,28.0,Loft,4.5,Entire home/apt,la Prosperitat,41.37,32.66,18.6536050157,114.31
1018050,1.0,41.382934,2.156778,1.0,30.0,Apartment,5.0,Private room,la Nova Esquerra de l'Eixample,98.36,1.0,3.84615384615,1.25
1018053,2.0,41.373844,2.168292,1.0,29.0,Apartment,5.0,Private room,el Poble Sec,98.9,12.0,7.17409470752,14.5
1018188,1.0,41.381923,2.18274,2.0,48.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",10.14,49.17,14.2552816901,196.68
1018439,0.0,41.38135,2.172006,1.0,25.0,Apartment,4.0,Private room,el Raval,87.4,39.67,3.00859598854,41.3229166667
10186267,0.0,41.379675,2.170301,2.0,30.0,Apartment,3.5,Private room,el Raval,10.68,1.0,17.7970588235,2.5
1019810,1.0,41.401781,2.163724,2.0,29.0,Apartment,4.5,Private room,la Vila de Grcia,98.36,17.17,16.0224489796,41.4941666667
1020452,1.0,41.372774,2.146547,3.0,65.0,Apartment,4.5,Entire home/apt,la Font de la Guatlla,77.81,26.99,23.1714285714,219.29375
1021286,0.0,41.398038,2.199771,3.0,130.0,Apartment,4.5,Entire home/apt,el Poblenou,95.62,7.0,0.421348314607,113.75
1021297,0.0,41.387138,2.149055,2.0,21.0,Apartment,4.0,Private room,la Nova Esquerra de l'Eixample,93.15,40.34,14.3430232558,70.595
1021299,2.0,41.386704,2.147931,3.0,41.0,Apartment,4.5,Private room,la Nova Esquerra de l'Eixample,67.12,26.17,5.37249283668,134.12125
1021389,1.0,41.371356,2.168522,5.0,85.0,Apartment,4.5,Entire home/apt,el Poble Sec,95.34,12.0,18.2719298246,212.5
1021822,0.0,41.378419,2.153532,1.0,26.0,Bed & Breakfast,4.5,Private room,la Nova Esquerra de l'Eixample,86.3,48.66,14.9038461538,52.715
10219910,1.0,41.379547,2.169326,1.0,55.0,Apartment,0.0,Entire home/apt,el Raval,97.53,1.0,6.94166666667,2.29166666667
1023142,2.0,41.397692,2.202477,3.0,81.0,Apartment,4.5,Entire home/apt,el Poblenou,70.68,24.67,12.8873239437,249.78375
1023985,0.0,41.404614,2.179925,3.0,105.0,Apartment,5.0,Entire home/apt,la Sagrada Famlia,95.62,12.5,1.26050420168,164.0625
1024257,1.0,41.406804,2.202801,1.0,37.0,Apartment,4.5,Private room,el Poblenou,46.85,20.83,4.06779661017,32.1129166667
1024587,0.0,41.378496,2.153608,2.0,28.0,Apartment,4.5,Private room,la Nova Esquerra de l'Eixample,85.48,31.0,8.45697329377,72.3333333333
