room_id,accommodates,bathrooms,bedrooms,cancel_pol,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,superhost
8013090,4.0,1.0,1.0,3,14.0,41.39338,2.14945,1.0,144.0,1,0.0,1,0
11706071,2.0,1.0,1.0,3,1.0,41.386432,2.15184,1.0,50.0,1,0.0,2,0
6482797,2.0,1.0,1.0,2,2.0,41.413925,2.168908,6.0,65.0,1,4.5,1,0
999759,2.0,1.0,1.0,1,3.0,41.419503,2.149663,2.0,34.0,1,4.0,2,0
6137494,1.0,0.0,1.0,3,2.0,41.389199,2.136476,1.0,39.0,1,5.0,2,0
3608419,5.0,2.0,2.0,3,1.0,41.400097,2.166999,1.0,99.0,1,4.0,1,0
3026627,2.0,1.0,1.0,2,1.0,41.371648,2.15924,2.0,24.0,1,4.5,2,0
5796677,2.0,1.0,0.0,3,1.0,41.407175,2.136227,5.0,60.0,8,0.0,1,0
10055282,2.0,1.0,1.0,1,1.0,41.384584,2.181822,2.0,62.0,8,4.0,1,0
5418081,2.0,1.0,1.0,3,1.0,41.377678,2.159219,3.0,2349.0,1,4.5,2,0
1635995,2.0,1.0,1.0,2,2.0,41.376571,2.133225,0.0,115.0,1,4.5,1,0
8467650,3.0,1.0,1.0,1,1.0,41.396385,2.129336,0.0,59.0,1,4.5,1,0
1904671,4.0,1.0,1.0,1,1.0,41.38456,2.13209,2.0,70.0,1,4.5,1,0
1219492,2.0,1.0,1.0,3,1.0,41.378249,2.160508,2.0,95.0,1,4.5,1,0
9873137,5.0,1.0,2.0,2,2.0,41.382482,2.175119,1.0,99.0,4,4.5,1,0
1064956,2.0,0.0,1.0,1,7.0,41.391391,2.129802,1.0,81.0,1,4.5,1,0
3730400,2.0,1.0,1.0,1,3.0,41.43652,2.172336,2.0,20.0,1,3.5,2,0
4935404,4.0,1.0,0.0,1,25.0,41.383361,2.157735,2.0,124.0,1,3.5,1,0
9482213,4.0,1.0,2.0,1,3.0,41.382047,2.138151,3.0,150.0,1,4.5,1,0
4981390,2.0,1.0,1.0,3,3.0,41.380881,2.175168,1.0,38.0,1,4.5,2,0
9851735,2.0,1.0,1.0,1,1.0,41.394671,2.181373,1.0,19.0,1,5.0,2,0
11257875,2.0,0.0,1.0,2,3.0,41.386263,2.134542,2.0,30.0,1,4.5,2,0
5703573,2.0,1.0,1.0,1,1.0,41.372367,2.167243,4.0,20.0,1,4.0,2,0
2176118,2.0,1.0,1.0,2,1.0,41.411725,2.185521,1.0,31.0,1,4.5,2,0
4134634,0.0,2.0,3.0,1,1.0,41.388025,2.170645,2.0,200.0,1,4.5,1,0
3809915,2.0,0.0,1.0,3,2.0,41.384122,2.177774,1.0,30.0,7,4.5,2,0
3330794,2.0,2.0,1.0,1,6.0,41.40274,2.180432,2.0,48.0,2,5.0,2,0
11204960,2.0,1.0,1.0,2,3.0,41.410604,2.190658,1.0,40.0,1,0.0,2,0
183858,2.0,0.0,1.0,1,1.0,41.380589,2.168827,3.0,30.0,1,4.5,2,0
4708648,0.0,1.0,2.0,2,1.0,41.374551,2.141078,3.0,80.0,1,4.5,1,0
580912,4.0,1.0,1.0,1,1.0,41.384366,2.17968,2.0,49.0,1,4.5,1,0
3109814,0.0,2.0,4.0,2,13.0,41.394403,2.154322,3.0,119.0,1,4.5,1,0
