,availability,avg_estimated_bookings,avg_minstay,avg_occupancy_rate,avg_price,avg_reviews_listing,income_month,income_year,listings,most_common_neigh
34021380,94.8,3.0,2.0,0.9,44.0,6.0,22.0,264.0,1,l'Antiga Esquerra de l'Eixample
1474565,92.5,5.3,4.0,4.7,32.0,10.6,168.9,2026.2,3,Sants
12992519,96.2,6.3,1.0,4.9,89.0,12.5,46.4,556.3,1,la Vila de Grcia
9935532,82.5,1.5,1.0,2.7,500.0,3.0,62.5,750.0,1,Sant Gervasi - la Bonanova
10381830,99.7,8.3,1.0,7.4,46.0,16.5,31.6,379.5,1,el Poblenou
311308,0.0,9.5,5.0,14.1,139.0,19.0,550.2,6602.5,1,"Sant Pere, Santa Caterina i la Ribera"
37781517,41.9,0.5,1.0,0.4,120.0,1.0,5.0,60.0,1,la Sagrada Famlia
31504321,47.2,5.8,3.0,13.1,251.0,11.7,1098.1,13177.5,3,la Sagrada Famlia
34979865,99.7,0.5,1.0,0.8,70.0,1.0,2.9,35.0,1,"Sant Pere, Santa Caterina i la Ribera"
31531035,99.7,0.5,1.0,11.4,45.0,1.0,1.9,22.5,1,el Poblenou
22441273,99.7,0.5,1.0,4.2,47.0,1.0,2.0,23.5,1,el Barri Gtic
28368927,99.7,0.5,1.0,0.8,35.0,1.0,1.5,17.5,1,el Raval
4063266,81.4,21.4,3.0,5.1,59.0,42.8,315.4,3784.3,1,la Sagrada Famlia
5070884,94.2,24.8,1.0,15.2,69.5,49.5,287.9,3454.5,2,l'Antiga Esquerra de l'Eixample
49713158,99.5,0.5,1.0,34.1,40.0,1.0,1.7,20.0,1,el Camp d'en Grassot i Grcia Nova
5947431,89.3,7.0,4.0,2.2,90.0,14.0,210.0,2520.0,1,la Vila de Grcia
6676520,72.6,2.0,3.0,2.0,74.0,4.0,37.0,444.0,1,la Vila de Grcia
2596905,97.0,3.5,2.0,10.2,78.0,7.0,45.5,546.0,1,l'Antiga Esquerra de l'Eixample
1974315,63.3,29.3,1.0,4.9,49.0,58.6,119.6,1435.2,1,el Barri Gtic
14262319,99.7,3.0,2.0,7.6,105.0,6.0,52.5,630.0,1,la Dreta de l'Eixample
2129970,88.5,9.5,3.0,4.1,90.0,19.0,213.8,2565.0,1,la Sagrada Famlia
18087988,99.5,11.0,3.0,2.5,50.0,22.0,137.5,1650.0,1,"Sant Pere, Santa Caterina i la Ribera"
20144181,60.8,17.0,1.0,7.5,50.0,34.0,70.8,850.0,1,el Putxet i el Farr
42631222,99.7,0.5,1.0,9.4,25.0,1.0,1.0,12.5,1,el Guinard
2072631,82.5,1.0,1.0,0.9,26.0,2.0,2.2,26.0,1,la Sagrada Famlia
4628536,42.5,4.0,1.0,8.1,99.0,8.0,33.0,396.0,1,l'Antiga Esquerra de l'Eixample
1646649,90.1,17.3,2.0,2.1,34.0,34.5,97.8,1173.0,1,el Poble Sec
39370811,97.0,5.5,1.0,4.4,20.0,11.0,9.2,110.0,1,la Font de la Guatlla
8659005,86.6,9.3,0.0,0.8,64.0,18.5,0.0,0.0,1,el Raval
852032,93.4,15.8,1.0,56.3,54.0,31.6,71.1,853.7,1,el Poblenou
7128416,3.0,5.0,2.0,23.8,176.0,10.0,146.7,1760.0,1,el Fort Pienc
3326018,97.8,1.0,2.0,32.2,100.0,2.0,16.7,200.0,1,el Poble Sec
32370699,98.6,2.5,1.0,0.8,18.0,5.0,3.8,45.0,1,Porta
6611013,99.7,4.0,1.0,15.1,71.5,8.0,71.2,854.5,2,Vallcarca i els Penitents
