CODI_CAPA;NOM_CAPA_CAT;NOM_CAPA_CAST;NOM_CAPA_ANG;COORD_X;COORD_Y;EQUIPAMENT;TELEFON;ADRECA
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;423629,304;4586002,02;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;423768,321;4586182,202;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;423797,311;4586181,23;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;423824,307;4586276,434;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;423833,318;4586283,001;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;423834,637;4586353,111;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;423941,309;4586778,181;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;423962,326;4586786,842;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;423991,123;4586376,772;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;423993,494;4586385,894;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424024,744;4586495,677;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424025,875;4586489,794;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424036,253;4586412,636;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424038,07;4586669,996;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424039,866;4586662,618;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424041,266;4586416,186;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424063,61;4586602,411;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424064,137;4586600,388;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424075,305;4586871,483;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424108,077;4586431,295;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424112,486;4586427,382;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424182,3;4586786,751;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424243,74;4586803,671;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424281,948;4585503,198;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424286,651;4586792,707;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424287,583;4585496,835;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424311,401;4586641,743;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424379,068;4586695,381;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424388,196;4586709,268;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424420,022;4585787,608;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424424,424;4585783,555;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424437,939;4585798,451;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424451,668;4586369,031;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424451,713;4586351,27;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424456,768;4585741,082;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424465,66;4586491,478;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424467,019;4585527,754;BUS -118--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424467,125;4587052,92;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424469,202;4586485,092;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424471,381;4587070,657;BUS -128--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;424472,534;4585747,824;BUS -118--;;
