entityid,dte,barris,mitjana
00664ad7-eaa0-45d9-93e5-56c4766a861c,,,
027931d9-f47c-4156-ae6c-cf426fd5e6da,9,57. la Trinitat Vella,1677
02c8544a-e730-4715-a8b5-aef80a929a11,,,
043168a1-c760-4ddb-9cc9-eca49a1c5327,10,70. el Besòs i el Maresme,2008
05fd35dc-d22f-4383-8f9a-b47369785276,10,65. el Clot,2452
06a037b1-ccef-4437-8452-5323e56fd4a7,10,67. la Vila Olímpica del Poblenou,3987
06b093ec-3c63-4d78-9d4b-2e58dd047b4f,10,70. el Besòs i el Maresme,2008
0906a67e-613f-449d-a998-f9e79088a913,,,
0b85fe84-08a8-436d-b62a-d3354f9f1d2c,,,
0cae0ccb-bd0d-4593-b711-68da9263b1f6,3,15. Hostafrancs,2501
0ce316d3-ba68-4ce9-b751-a5251b2d41d8,7,42. la Clota,
0ce8ca39-b194-47ab-a524-344270fcf560,4,20. la Maternitat i Sant Ramon,3371
0dc31c32-a25f-4c2b-a6bb-6dd1d838d71c,7,40. Montbau (1),
0efec0c7-a618-4422-bba0-d9a573068e74,5,26. Sant Gervasi-Galvany,3882
11139c37-94bb-473f-bebc-d8e0d9ebc6b1,8,56. Vallbona (4),
13aa3fb5-daac-405e-b73f-848b95e20289,10,64. el Camp de l Arpa del Clot,2418
14826a57-3e41-442f-8e15-836e6d9dd6f1,10,69. Diagonal Mar i el Front Marítim del Poblenou,4391
16ca52a3-8b32-4f99-86d4-c824333c7047,3,18. Sants,2560
17284341-24c6-4a7b-9f05-f0a7d34377bd,8,47. Can Peguera (2),
18174799-cd02-4cce-8209-176703a84265,3,14. la Font de la Guatlla,2475
18200c69-9eae-49c7-83cc-28ca89800581,8,48. la Guineueta,
1a23e4f7-0507-425a-b98a-f9da30095bbe,5,27. el Putxet i el Farró,3237
1b8b170b-89cb-41a2-8ba4-3a33f67d843b,10,65. el Clot,2452
1d958a2d-a690-418b-9d6d-49647624be7c,5,23. Sarrià,4447
1e2643ed-c7c0-4b28-83ea-e70c2728b50c,9,57. la Trinitat Vella,1677
1e8462e8-84fb-4621-9066-78a1caf42cd6,2,8. l Antiga Esquerra de l Eixample,3407
1ededf55-0e49-48b9-b421-b7a95169e999,3,18. Sants,2560
1ef07cb3-a6d8-4f8c-aeed-051a1dc23582,9,61. la Sagrera,2475
1ef14da2-9858-48c3-9c4d-3e22e2c3692e,8,47. Can Peguera (2),
219ccaee-9463-470a-b20d-7738b41e400d,6,28. Vallcarca i els Penitents,3118
22618d8b-5b7d-49a8-9dbb-bd5fa40b23d2,9,62. el Congrés i els Indians,
23abd91e-eb94-43e7-827a-566c05fb942b,3,15. Hostafrancs,2501
23df79ce-d5d6-492c-b233-62b0ea668fd8,9,63. Navas,
2f15a3bc-1938-4f93-a6fb-c1aee5157245,10,66. el Parc i la Llacuna del Poblenou,2630
3338c842-f482-4ef6-94aa-ff83f3b38908,2,10. Sant Antoni,2863
33b7e8b4-4278-4810-a367-541cf2686e6a,,,
34c7535d-f0aa-4c5d-bebf-1b431abc3d25,10,69. Diagonal Mar i el Front Marítim del Poblenou,4391
35ee51f2-7f84-4cae-95f5-ae03c419aeb0,8,53. la Trinitat Nova,
3906ca6a-c9d6-47bc-baa3-9c05644a2ae1,9,58. Baró de Viver,
3a7ab07c-47bf-46d4-b527-238698c6f038,1,3. la Barceloneta,3490
3c92d40a-c510-45ba-996b-65a70050f62e,8,46. el Turó de la Peira (2),2014
3cde5693-d99b-4a19-86f9-c2d5ea25ab0c,6,31. la Vila de Gràcia,3174
405fdea4-9a90-4c06-a151-96956ae1e50e,3,14. la Font de la Guatlla,2475
43fcfd5a-d394-40f8-b023-eae3b111b3b7,9,60. Sant Andreu,2178
447a552a-5382-4098-840c-348de7d5e9dc,,,
46016a55-4b6d-4b1a-821d-6d569ec4d843,7,38. la Teixonera,1999
476d4822-2008-4e3f-ae3b-a27f43abdcbf,,,
47e0a0a6-d966-4ff7-8b03-5c8043a04414,4,20. la Maternitat i Sant Ramon,3371
47f3ae5b-5d5b-46ee-941a-238be023511f,2,5. el Fort Pienc,2917
4c8f049a-7de1-495a-bdbc-c096de83753e,7,36. la Font d en Fargues,2702
4daaf8cd-c80c-4211-9725-b292d6eb5abc,,,
4dbd7def-617d-4687-829c-9c04263f4306,8,48. la Guineueta,
4ef5f8bf-6ff6-4f17-9036-f59a5f7c861e,6,29. el Coll,2374
505bd677-0056-4540-a44e-8bbb906cb939,7,35. el Guinardó,2416
51847e77-b080-4873-b8cf-40c4d784d40c,5,22. Vallvidrera  el Tibidabo i les Planes,
538bddc6-3807-4258-84f5-31513515c684,8,56. Vallbona (4),
54203a5e-fbbb-4d6c-8221-d5b86f620e66,,,
545a0511-9566-4175-a41f-b9f671d43c29,6,30. la Salut,2769
54e0b936-7736-43ba-b244-fcd15d354dc1,3,16. la Bordeta,2233
566d5743-19c9-4592-83c2-3351ae04586a,4,19. les Corts,3536
5a5fb157-8e94-44c6-98f3-865e440d5c5c,8,50. les Roquetes (3),1745
5b3076c5-b5fb-4823-8c8b-0484ae143d89,7,41. la Vall d Hebron,
5e82e247-02c4-46e0-83d5-a5e78c97b7d4,2,9. la Nova Esquerra de l Eixample,3016
600d0a01-c89c-40aa-8d15-365cf5b1ee4c,7,40. Montbau (1),
624c68b0-dd93-4872-822e-e817a84543a4,8,55. Ciutat Meridiana (4),1360
627b5f2a-91c5-45e2-95cb-0c76c0c93a09,10,73. la Verneda i la Pau,
6313c577-c711-4843-8d7f-8684147093e0,7,36. la Font d en Fargues,2702
6362d5cf-cf7a-499e-a1f0-cd553b5cf0fa,3,13. la Marina de Port,2130
653ff9ed-afbd-4073-83e5-f5780302171e,7,33. el Baix Guinardó,2541
65df2f1d-1b6e-4004-8650-c46759d4de52,7,37. el Carmel,1794
6aacedd7-cb5d-4bc4-9a0e-b574d31459f8,7,37. el Carmel,1794
6b41762c-1a1f-4c30-8cc0-eda1eb54ed81,2,8. l Antiga Esquerra de l Eixample,3407
6eeb024e-3622-4d37-93f8-e53a57ea83d9,3,12. la Marina del Prat Vermell-AEI Zona Franca,
6f14469c-bc4f-450f-ba28-f4326fd8f3d4,,,
6f96869a-0bbe-4627-b014-92192ac25076,2,6. la Sagrada Família,2869
6ff414c6-5052-462b-ae09-8c4b534357a2,8,55. Ciutat Meridiana (4),1360
71edc9c4-e29e-4f17-a28c-7dfaedd732e1,3,13. la Marina de Port,2130
74bfd183-af3d-44e7-83db-9da577198918,10,73. la Verneda i la Pau,
75ca909c-ba48-4fd9-a4b2-ba061db856f8,7,33. el Baix Guinardó,2541
