CODI_CAPA;NOM_CAPA_CAT;NOM_CAPA_CAST;NOM_CAPA_ANG;COORD_X;COORD_Y;EQUIPAMENT;TELEFON;ADRECA
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;419347,693;4579117,936;FGC (L8) - MOLÍ NOU-CIUTAT COOPERATIVA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;420052,849;4578048,029;FGC (L8) - SANT BOI-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;422162,837;4578435,921;FGC (L8) - CORNELLÀ:RIERA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;422500,618;4578910,298;METRO (L5) - CORNELLÀ CENTRE-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;422523,018;4578905,242;METRO (L5) - CORNELLÀ CENTRE-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;423046,185;4579077,342;METRO (L5) - GAVARRA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;423046,915;4579041,948;METRO (L5) - GAVARRA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;423054,646;4579117,514;METRO (L5) - GAVARRA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;423477,861;4579632,949;METRO (L5) - SANT ILDEFONS-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;423492,684;4579691,162;METRO (L5) - SANT ILDEFONS-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;423526,988;4579692,061;METRO (L5) - SANT ILDEFONS-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;423696,607;4578548,962;FGC (L8) - ALMEDA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;424049,42;4579993,648;METRO (L5) - CAN BOIXERES-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;424089,76;4580003,467;METRO (L5) - CAN BOIXERES-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;424762,78;4580570,537;METRO (L5) - CAN VIDALET-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;424794,078;4579719,894;METRO (L1) - RAMBLA JUST OLIVERAS-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;424817,382;4580598,85;METRO (L5) - CAN VIDALET-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;424842,109;4579643,626;METRO (L1) - RAMBLA JUST OLIVERAS-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;424843,749;4579782,879;METRO (L1) - RAMBLA JUST OLIVERAS-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;424865,261;4579723,011;METRO (L1) - RAMBLA JUST OLIVERAS-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425033,723;4579022,866;METRO (L1) - AVINGUDA CARRILET-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425035,602;4579233,199;METRO (L1) - AVINGUDA CARRILET-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425065,414;4579175,201;METRO (L1) - AVINGUDA CARRILET-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425092,762;4580159,507;METRO (L1) - CAN SERRA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425097,115;4579065,424;FGC (L8) - L'HOSPITALET:AV. CARRILET-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425129,002;4580230,362;METRO (L1) - CAN SERRA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425151,616;4580218,457;METRO (L1) - CAN SERRA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425332,019;4577611,412;METRO (L1) - HOSPITAL DE BELLVITGE-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425355,408;4577568,828;METRO (L1) - HOSPITAL DE BELLVITGE-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425395,625;4580812,673;METRO (L5) - PUBILLA CASES-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425416,909;4580782,723;METRO (L5) - PUBILLA CASES-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425469,107;4580862,621;METRO (L5) - PUBILLA CASES-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425519,609;4580867,131;METRO (L5) - PUBILLA CASES-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425631,673;4578364,096;METRO (L1) - BELLVITGE-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425688,116;4578238,041;METRO (L1) - BELLVITGE-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425691,949;4580178,433;METRO (L1) - FLORIDA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425697,26;4578331,096;METRO (L1) - BELLVITGE-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425710,884;4581984,198;METRO (L3) - ZONA UNIVERSITÀRIA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425716,518;4580250,095;METRO (L1) - FLORIDA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425722,421;4578414,759;METRO (L1) - BELLVITGE-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425732,601;4580233,861;METRO (L1) - FLORIDA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425787,169;4578294,733;METRO (L1) - BELLVITGE-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425791,861;4579444,362;FGC (L8) - SANT JOSEP-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425813,465;4582038,709;METRO (L3) - ZONA UNIVERSITÀRIA (Av. Diagonal)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;425819,914;4581990,841;METRO (L3) - ZONA UNIVERSITÀRIA (Av. Diagonal)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;426202,61;4580269,674;METRO (L1) - TORRASSA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;426254,143;4580252,775;METRO (L1) - TORRASSA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;426267,191;4580203,705;METRO (L1) - TORRASSA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;426274,529;4578783,125;FGC (L8) - GORNAL-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;426337,621;4582197,391;METRO (L3) - PALAU REIAL (Av. Diagonal)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;426337,637;4582174;METRO (L3) - PALAU REIAL-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;426349,246;4582163,058;METRO (L3) - PALAU REIAL (Av. Diagonal)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;426361,7;4581050,761;METRO (L5) - COLLBLANC-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;426420,871;4583563,017;FGC (L6) - REINA ELISENDA (Sortida J. V. Foix)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;426446,51;4583623,13;FGC (L6) - REINA ELISENDA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;426477,889;4583649,008;FGC (L6) - REINA ELISENDA (Sortida Duquesa d'Orleans)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;426508,429;4581072,177;METRO (L5) - COLLBLANC-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;426561,018;4581066,07;METRO (L5) - COLLBLANC-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;426595,677;4581022,672;METRO (L5) - COLLBLANC-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;426908,772;4583660,942;FGC (L6) - SARRIÀ-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;426932,02;4578959,11;FGC (L8) - EUROPA / FIRA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;426957,615;4583617,136;FGC (L6) - SARRIÀ-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;426970,574;4581034,512;METRO (L5) - BADAL (C. d'Arizala)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427007,141;4581011,351;METRO (L5) - BADAL (C. Carreras i Candi)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427013,72;4583570,427;FGC (L6) - SARRIÀ-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427031,145;4582428,458;METRO (L3) - MARIA CRISTINA (Av. Diagonal)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427045,174;4582422,054;METRO (L3) - MARIA CRISTINA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427060,814;4582391,704;METRO (L3) - MARIA CRISTINA (Av. Diagonal)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427115,432;4581022,414;METRO (L5) - BADAL-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427175,162;4582437,688;METRO (L3) - MARIA CRISTINA (Pl. de la Reina Maria Cristina)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427184,271;4581025,281;METRO (L5) - BADAL (C. de Sants)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427223,249;4580226,142;METRO (L1) - SANTA EULÀLIA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427263,959;4580301,705;METRO (L1) - SANTA EULÀLIA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427331,435;4580348,74;METRO (L1) - SANTA EULÀLIA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427363,016;4579441,732;FGC (L8) - ILDEFONS CERDÀ-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427371,597;4583523,496;FGC (L6) - LES TRES TORRES-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427406,489;4581977,5;METRO (L3) - LES CORTS (Travessera de les Corts)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427420,327;4581948,178;METRO (L3) - LES CORTS (C. de Joan Güell)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427434,114;4583481,448;FGC (L6) - LES TRES TORRES-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427464,321;4579393,075;FGC (L8) - ILDEFONS CERDÀ-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427466,265;4582011,513;METRO (L3) - LES CORTS-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427604,329;4580760,854;METRO (L1) - MERCAT NOU (C. d'Antoni de Capmany)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427642,219;4580722,743;METRO (L1) - MERCAT NOU (C. de la Riera de Tena)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427674,967;4580787,893;METRO (L1) - MERCAT NOU-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427718,753;4580857,291;METRO (L1) - MERCAT NOU (C. dels Jocs Florals)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427760,971;4581003,263;METRO (L5) - PLAÇA DE SANTS (Pl. de Sants)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427792,49;4583490,526;FGC (L6) - LA BONANOVA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427798,256;4580997,767;METRO (L5) - PLAÇA DE SANTS-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427818,595;4583478,761;FGC (L6) - LA BONANOVA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427824,633;4583461,639;FGC (L6) - LA BONANOVA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427829,044;4580995,77;METRO (L5) - PLAÇA DE SANTS (C. de Sants)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427866,749;4581744,512;METRO (L3) - PLAÇA DEL CENTRE (Pl. del Centre)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427895,637;4581799,339;METRO (L3) - PLAÇA DEL CENTRE-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427950,667;4581010,241;METRO (L1) - PLAÇA DE SANTS (C. de Sants)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427966,37;4580974,526;METRO (L1) - PLAÇA DE SANTS (C. de Sants)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;427978,275;4584857,903;FGC (L7) - AVINGUDA DEL TIBIDABO-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428050,33;4581006,118;METRO (L1) - PLAÇA DE SANTS-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428075,694;4580969,707;METRO (L1) - PLAÇA DE SANTS (C. de Sants)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428079,633;4580997,548;METRO (L1) - PLAÇA DE SANTS (C. de Sants)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428114,553;4580193,355;FGC (L8) - MAGÒRIA-LA CAMPANA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428121,85;4581466,934;METRO (L5) - SANTS ESTACIÓ-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428146,731;4584356,984;FGC (L7) - EL PUTXET-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428147,789;4584391,712;FGC (L7) - EL PUTXET-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428158,953;4581455,747;METRO (L5) - SANTS ESTACIÓ (Pg. de Sant Antoni)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428169,942;4584324,675;FGC (L7) - EL PUTXET-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428173,946;4581719,551;METRO (L3) - SANTS ESTACIÓ (C. d'Enric Bargés)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428229,073;4581754,396;METRO (L3) - SANTS ESTACIÓ (Jardins de Màlaga)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428285,801;4585713,839;METRO (L3) - PENITENTS-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428304,031;4585629,407;METRO (L3) - PENITENTS (C. d'Anna Piferrer)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428304,517;4585683,412;METRO (L3) - PENITENTS (Av. de l'Hospital Militar)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428309,349;4581667,486;METRO (L3) - SANTS ESTACIÓ-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428316,204;4581593,635;METRO (L3) - SANTS ESTACIÓ (C. de Numància)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428351,35;4581626,548;METRO (L3) - SANTS ESTACIÓ (Av. de Josep Tarradellas)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428351,617;4586501,846;METRO (L5) - VALL D'HEBRÓN-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428373,378;4580957,584;METRO (L1) - HOSTAFRANCS (C. del Moianès)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428399,069;4586505,078;METRO (L3, L5) - VALL D'HEBRON (Pg. de la Vall d'Hebron)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428425,993;4584117,19;FGC (L7) - PADUA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428431,962;4583565,877;FGC (L6) - MUNTANER-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428440,55;4583604,062;FGC (L6) - MUNTANER-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428443,99;4586522,631;METRO (L3) - VALL D'HEBRON-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428454,596;4584099,555;FGC (L7) - PADUA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428464,386;4581003,148;METRO (L1) - HOSTAFRANCS (C. del Consell de Cent)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428473,536;4583567,057;FGC (L6) - MUNTANER-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428479,622;4584065,28;FGC (L7) - PADUA-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428480,365;4586484,614;METRO (L3, L5) - VALL D'HEBRON (C. de les Basses d'Horta)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428509,802;4580973,732;METRO (L1) - HOSTAFRANCS-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428552,58;4581368,633;METRO (L3) - TARRAGONA (C. del Elisi)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428554,333;4580980,46;METRO (L1) - HOSTAFRANCS (C. de la Creu Coberta)-;;
K001;Metro i línies urbanes FGC                      ;Metro y líneas urbanas FGC                         ;Underground trains                              ;428599,868;4581953,686;METRO (L5) - ENTENÇA (C. d'Entença)-;;
