,longitude,latitude,price
8013090,2.14945,41.39338,144.0
11706071,2.15184,41.386432,50.0
6482797,2.168908,41.413925,65.0
999759,2.149663,41.419503,34.0
6137494,2.136476,41.389199,39.0
3608419,2.166999,41.400097,99.0
3026627,2.15924,41.371648,24.0
5796677,2.136227,41.407175,60.0
10055282,2.181822,41.384584,62.0
5418081,2.159219,41.377678,2349.0
1635995,2.133225,41.376571,115.0
8467650,2.129336,41.396385,59.0
1904671,2.13209,41.38456,70.0
1219492,2.160508,41.378249,95.0
9873137,2.175119,41.382482,99.0
1064956,2.129802,41.391391,81.0
3730400,2.172336,41.43652,20.0
4935404,2.157735,41.383361,124.0
9482213,2.138151,41.382047,150.0
4981390,2.175168,41.380881,38.0
9851735,2.181373,41.394671,19.0
11257875,2.134542,41.386263,30.0
5703573,2.167243,41.372367,20.0
2176118,2.185521,41.411725,31.0
4134634,2.170645,41.388025,200.0
3809915,2.177774,41.384122,30.0
3330794,2.180432,41.40274,48.0
11204960,2.190658,41.410604,40.0
183858,2.168827,41.380589,30.0
4708648,2.141078,41.374551,80.0
580912,2.17968,41.384366,49.0
3109814,2.154322,41.394403,119.0
7667139,2.158353,41.399445,110.0
3478247,2.144703,41.370631,54.0
5104200,2.134012,41.373068,75.0
1453455,2.163403,41.4185,125.0
10763645,2.197544,41.389643,195.0
6656951,2.15112,41.412385,45.0
4392787,2.15028,41.378758,25.0
198958,2.215802,41.407087,299.0
8216047,2.172616,41.404813,90.0
10205997,2.175862,41.377817,95.0
401246,2.178107,41.389656,40.0
4821698,2.158182,41.383769,65.0
4658329,2.184351,41.419037,27.0
4873734,2.191883,41.379355,62.0
11983489,2.175038,41.3801,31.0
7513440,2.182222,41.381745,48.0
11765100,2.167751,41.405219,59.0
10146253,2.164153,41.381678,55.0
5543269,2.201242,41.399132,39.0
8307926,2.175413,41.406123,70.0
3686143,2.188316,41.38028,46.0
942953,2.154662,41.374148,50.0
5226386,2.173539,41.373205,28.0
2159296,2.189254,41.391543,80.0
749306,2.153163,41.39288,105.0
10003960,2.179443,41.385977,65.0
6567519,2.173953,41.380497,59.0
11238853,2.204869,41.420772,35.0
3943443,2.147046,41.410531,35.0
922707,2.165642,41.404224,44.0
11643800,2.167682,41.379888,49.0
11604822,2.160688,41.389225,42.0
2207843,2.159859,41.381819,298.0
7522153,2.164987,41.378451,50.0
6856939,2.158311,41.393303,120.0
11581301,2.17782,41.388011,80.0
8914555,2.1658,41.370649,22.0
6421320,2.159755,41.402907,80.0
7043430,2.175504,41.37897,48.0
6145281,2.16514,41.414837,42.0
5183788,2.164662,41.407495,46.0
237895,2.182998,41.398954,47.0
7914161,2.178972,41.381997,25.0
9483169,2.175304,41.38012,217.0
11524534,2.168348,41.384642,110.0
6456174,2.157636,41.402995,15.0
7671463,2.161287,41.377023,30.0
11417973,2.190354,41.380676,24.0
6563792,2.169065,41.372959,61.0
1847411,2.15973,41.372852,32.0
6825249,2.206063,41.408125,150.0
12179420,2.144999,41.393221,29.0
7941854,2.151128,41.386118,26.0
11411750,2.160195,41.376092,99.0
8675186,2.173837,41.381055,19.0
1495291,2.138147,41.412258,160.0
2112980,2.161159,41.389249,108.0
6633007,2.179872,41.383966,25.0
9271547,2.173748,41.385149,96.0
3054086,2.145358,41.374302,105.0
10135473,2.175487,41.398797,16.0
11822467,2.189055,41.380276,2338.0
7725978,2.189632,41.381691,61.0
11062784,2.171282,41.406852,60.0
11234268,2.157747,41.407934,60.0
11193351,2.154352,41.384573,100.0
6204594,2.159789,41.396623,90.0
9951702,2.176344,41.382029,41.0
256677,2.176289,41.380648,50.0
3435604,2.177612,41.380825,20.0
4568947,2.152946,41.391586,30.0
5777440,2.169935,41.382149,32.0
3082152,2.146661,41.4023,40.0
747274,2.158176,41.391443,110.0
3219190,2.159547,41.387857,60.0
10514507,2.200774,41.385364,104.0
11885430,2.166924,41.386948,310.0
317727,2.151599,41.376579,75.0
9275394,2.17738,41.381016,47.0
656635,2.153286,41.410993,235.0
9555049,2.166855,41.402871,50.0
3326883,2.136494,41.405791,60.0
951364,2.154354,41.392172,89.0
5916233,2.17751,41.384064,30.0
2037200,2.16491,41.380057,99.0
11764037,2.15066,41.401264,85.0
4940809,2.154202,41.396963,62.0
9357147,2.184697,41.397274,35.0
3148957,2.202047,41.40375,65.0
7781821,2.131908,41.369598,35.0
10672330,2.208521,41.399971,61.0
8880938,2.172521,41.374364,68.0
11486228,2.185167,41.399541,59.0
320506,2.168032,41.371859,99.0
6535108,2.188101,41.378622,130.0
12040346,2.180179,41.410415,145.0
11029705,2.167311,41.384492,99.0
10224619,2.15578,41.398462,111.0
1259917,2.191849,41.429683,37.0
6870003,2.186646,41.407817,45.0
790748,2.137378,41.378374,66.0
6973304,2.180994,41.410433,131.0
919483,2.168634,41.374069,79.0
8521164,2.164243,41.370974,11.0
1056132,2.16334,41.379445,40.0
11972029,2.176635,41.403532,30.0
11898526,2.175301,41.404783,165.0
1017317,2.185152,41.444737,28.0
8531081,2.189568,41.379163,27.0
11585353,2.199708,41.399813,35.0
5845506,2.163678,41.414598,50.0
4857408,2.147896,41.375295,45.0
11651262,2.177799,41.396763,32.0
7140427,2.159689,41.396739,40.0
3753467,2.169412,41.404073,80.0
343866,2.157195,41.405449,79.0
4304038,2.158355,41.381379,130.0
11579060,2.146851,41.378417,39.0
7120827,2.161328,41.4087,40.0
5289980,2.162214,41.38784,50.0
9354654,2.160953,41.397091,47.0
5624887,2.154679,41.390779,50.0
5053016,2.206485,41.411686,55.0
7238965,2.151194,41.391605,40.0
1440678,2.189443,41.394253,35.0
8663644,2.157445,41.400539,90.0
7599231,2.155855,41.372522,100.0
7391047,2.190269,41.437593,59.0
2691462,2.14788,41.371625,50.0
1851080,2.165502,41.393862,100.0
5954616,2.17867,41.412836,46.0
4970356,2.177582,41.404612,66.0
3494649,2.158485,41.387061,100.0
11819734,2.168864,41.378523,90.0
9914160,2.158231,41.380057,124.0
7983191,2.172024,41.385925,43.0
83613,2.177576,41.378851,55.0
3763062,2.156432,41.375183,89.0
6470587,2.166166,41.385617,35.0
11613479,2.173183,41.379071,16.0
6210904,2.206052,41.399,58.0
9767813,2.146838,41.380636,20.0
9767540,2.154381,41.371694,90.0
3277637,2.135767,41.391614,100.0
1766602,2.160575,41.399307,159.0
7383424,2.178129,41.415931,20.0
5555823,2.155082,41.385797,46.0
7779484,2.162915,41.374724,80.0
9607902,2.166538,41.387365,48.0
482630,2.161328,41.390993,110.0
4595266,2.180635,41.400977,74.0
12046378,2.132054,41.382682,31.0
847394,2.197891,41.399828,188.0
6564606,2.184957,41.39151,75.0
11499564,2.148415,41.413573,60.0
6806270,2.159337,41.373297,147.0
8215004,2.146387,41.407752,80.0
5999753,2.167176,41.377904,35.0
4274163,2.162184,41.401409,69.0
1188967,2.159968,41.404105,105.0
11110936,2.158834,41.379923,40.0
1188965,2.159355,41.40402,105.0
9469705,2.136448,41.376011,165.0
3919880,2.166597,41.376587,46.0
6847026,2.150349,41.392948,125.0
900045,2.189225,41.393728,49.0
692480,2.133612,41.425801,40.0
9191600,2.189369,41.40085,20.0
11764681,2.183004,41.391419,55.0
234375,2.175195,41.399182,130.0
9546207,2.147429,41.384472,60.0
3986138,2.160198,41.442835,55.0
842701,2.17989,41.386723,111.0
10606226,2.176054,41.385102,35.0
8203131,2.181879,41.388366,55.0
6555837,2.175568,41.426001,40.0
8322377,2.153362,41.38651,21.0
8020706,2.162433,41.376199,115.0
1186521,2.16262,41.376842,110.0
1002821,2.184774,41.390357,119.0
761212,2.181746,41.389699,135.0
11348156,2.128546,41.396796,150.0
893129,2.135713,41.397087,125.0
734128,2.161207,41.380787,98.0
9660906,2.206319,41.399272,145.0
6251528,2.133144,41.383844,14.0
7434043,2.175328,41.39774,30.0
1840475,2.178708,41.401451,80.0
7995896,2.192824,41.39818,650.0
5555156,2.169597,41.38152,45.0
7569107,2.146022,41.406352,100.0
3806589,2.136523,41.378873,78.0
7897107,2.128231,41.389483,130.0
11916115,2.174838,41.392745,27.0
12200436,2.136645,41.357657,22.0
3732820,2.167393,41.386161,99.0
3898241,2.147789,41.370359,36.0
9233339,2.200361,41.399797,75.0
11001649,2.190919,41.376232,70.0
2791159,2.161924,41.385922,90.0
9269558,2.15358,41.381822,75.0
7211063,2.172911,41.432152,37.0
3054715,2.180929,41.443913,30.0
1864376,2.175858,41.381709,129.0
11957919,2.206314,41.422406,25.0
12110981,2.14207,41.386069,90.0
10931312,2.165545,41.378173,60.0
2324102,2.128505,41.372878,40.0
1756975,2.181957,41.428714,70.0
7450665,2.159503,41.39879,18.0
10183897,2.156994,41.406537,25.0
7976633,2.156902,41.382677,29.0
10026336,2.185958,41.397222,35.0
6175797,2.181352,41.396802,135.0
1385618,2.176897,41.393514,145.0
11016555,2.176645,41.382086,40.0
4609486,2.157895,41.400114,47.0
5772106,2.181555,41.385395,75.0
839655,2.163982,41.376119,70.0
2840800,2.173361,41.404417,76.0
6140139,2.18057,41.396555,35.0
11076261,2.174301,41.404346,120.0
2475421,2.176667,41.403005,65.0
1094534,2.153119,41.376522,39.0
5675916,2.169598,41.419916,60.0
813031,2.165599,41.373938,100.0
594235,2.151591,41.403151,70.0
12161278,2.158432,41.391262,90.0
8793319,2.141596,41.385563,85.0
4376935,2.174795,41.40416,35.0
2987956,2.172623,41.398299,30.0
11689726,2.181993,41.385374,90.0
2672942,2.133359,41.36372,15.0
9020920,2.175988,41.401302,100.0
1215918,2.158544,41.420335,55.0
1938408,2.151186,41.404554,60.0
4210151,2.188397,41.407572,29.0
4028136,2.172756,41.379179,10.0
6140393,2.163046,41.371694,195.0
2720765,2.177316,41.40432,89.0
2958494,2.174817,41.400561,139.0
2729334,2.156692,41.376722,22.0
2111196,2.173874,41.396249,70.0
8149057,2.185528,41.409094,30.0
2889174,2.147583,41.379366,74.0
6472184,2.180453,41.381603,60.0
744153,2.175026,41.397603,42.0
12000777,2.180763,41.418414,16.0
2058080,2.155623,41.401188,100.0
9250163,2.187098,41.390354,60.0
698593,2.156597,41.402037,82.0
3417599,2.177315,41.380234,35.0
3086645,2.20074,41.403816,70.0
10151288,2.150372,41.386577,60.0
7605995,2.161389,41.404566,100.0
7605992,2.183467,41.454128,35.0
8169339,2.166943,41.390714,294.0
7240609,2.15998,41.396202,59.0
1692008,2.138091,41.37674,79.0
1204581,2.172705,41.409476,30.0
7704505,2.190357,41.378653,50.0
1258555,2.182192,41.396565,100.0
6841715,2.200713,41.404457,257.0
8877394,2.161662,41.399705,120.0
4743831,2.197299,41.406814,83.0
1830227,2.120613,41.400177,75.0
1411945,2.165465,41.400807,94.0
